DateTime;Players;Average Players;Twitch Viewers;game
25.09.22 00:00;13177;8753;3151;forza_horizon_5
26.09.22 00:00;10039;6257;6247;forza_horizon_5
27.09.22 00:00;9832;6012;6258;forza_horizon_5
28.09.22 00:00;10084;6081;1957;forza_horizon_5
29.09.22 00:00;13529;6919;1302;forza_horizon_5
30.09.22 00:00;12874;7869;950;forza_horizon_5
01.10.22 00:00;12703;8914;2731;forza_horizon_5
02.10.22 00:00;12178;8525;1100;forza_horizon_5
03.10.22 00:00;9941;6767;610;forza_horizon_5
04.10.22 00:00;9188;6184;1130;forza_horizon_5
05.10.22 00:00;9101;6126;32401;forza_horizon_5
06.10.22 00:00;12173;6889;2237;forza_horizon_5
07.10.22 00:00;11294;7608;1276;forza_horizon_5
08.10.22 00:00;11499;7869;1375;forza_horizon_5
09.10.22 00:00;11527;7621;1142;forza_horizon_5
10.10.22 00:00;8721;5905;616;forza_horizon_5
11.10.22 00:00;8322;5253;1030;forza_horizon_5
12.10.22 00:00;8597;5491;1509;forza_horizon_5
13.10.22 00:00;14429;7315;2475;forza_horizon_5
14.10.22 00:00;15789;9828;3541;forza_horizon_5
15.10.22 00:00;17823;12153;1002;forza_horizon_5
16.10.22 00:00;17697;12102;2140;forza_horizon_5
17.10.22 00:00;14210;8863;5598;forza_horizon_5
18.10.22 00:00;13793;8488;3225;forza_horizon_5
19.10.22 00:00;13508;8390;8394;forza_horizon_5
20.10.22 00:00;16596;9200;3639;forza_horizon_5
21.10.22 00:00;16328;10087;5290;forza_horizon_5
22.10.22 00:00;17321;11657;1439;forza_horizon_5
23.10.22 00:00;16481;11248;1093;forza_horizon_5
24.10.22 00:00;13200;8272;2891;forza_horizon_5
25.10.22 00:00;12614;7958;7316;forza_horizon_5
26.10.22 00:00;12970;8054;730;forza_horizon_5
27.10.22 00:00;15712;8798;1591;forza_horizon_5
28.10.22 00:00;14611;9103;942;forza_horizon_5
29.10.22 00:00;14531;9818;11903;forza_horizon_5
30.10.22 00:00;13190;9321;1119;forza_horizon_5
31.10.22 00:00;10537;6853;995;forza_horizon_5
01.11.22 00:00;10655;6657;1040;forza_horizon_5
02.11.22 00:00;9569;6255;2098;forza_horizon_5
03.11.22 00:00;12778;7197;2269;forza_horizon_5
04.11.22 00:00;12256;8035;1636;forza_horizon_5
05.11.22 00:00;13264;9209;1156;forza_horizon_5
06.11.22 00:00;12516;8768;1117;forza_horizon_5
07.11.22 00:00;8665;6089;1143;forza_horizon_5
08.11.22 00:00;8626;5691;4565;forza_horizon_5
09.11.22 00:00;8734;5775;1319;forza_horizon_5
10.11.22 00:00;12886;7233;2060;forza_horizon_5
11.11.22 00:00;12966;8641;1491;forza_horizon_5
12.11.22 00:00;13686;9873;2086;forza_horizon_5
13.11.22 00:00;14615;10340;1347;forza_horizon_5
14.11.22 00:00;10688;7268;941;forza_horizon_5
15.11.22 00:00;10137;6864;6229;forza_horizon_5
16.11.22 00:00;9788;6464;5384;forza_horizon_5
17.11.22 00:00;11049;6598;1530;forza_horizon_5
18.11.22 00:00;10732;7074;2125;forza_horizon_5
